Site,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25
010_1657_FY19,20.5,19.75,24.75,23.25,22.75,21.5,20.75,,,,,,,,,,,,,,,,,,
010_1762_FY19,24.75,25.25,24.75,25,,,,,,,,,,,,,,,,,,,,,
010_1866_FY19,15.75,11.75,11,11.75,,,,,,,,,,,,,,,,,,,,,
010_1867_FY19,23.5,23.75,25,26,26.5,26.5,,,,,,,,,,,,,,,,,,,
010_1970_FY19,16.75,16.5,15,18.25,21.5,,,,,,,,,,,,,,,,,,,,
010_2803_FY19,13.25,17.75,13,16.25,16.5,9.75,12.75,11.75,15,18,19.75,18.25,17.25,24.5,,,,,,,,,,,
010_2909_FY19,22.25,22.25,22,21.5,,,,,,,,,,,,,,,,,,,,,
010_3014_FY19,21,20.75,21,20.75,,,,,,,,,,,,,,,,,,,,,
010_3112_FY19,23.5,24.5,24.75,24.75,,,,,,,,,,,,,,,,,,,,,
010_3119_FY19,24.75,25.25,24.75,23.75,24.5,,,,,,,,,,,,,,,,,,,,
010_3208_FY19,23.5,24,25.25,25.5,26.25,26.5,,,,,,,,,,,,,,,,,,,
010_3219_FY19,22.5,22.25,21.25,22.75,,,,,,,,,,,,,,,,,,,,,
010_3220_FY19,23.25,23.75,23.25,22.25,23,,,,,,,,,,,,,,,,,,,,
010_3323_FY19,21.25,22,23.75,23,23,21.75,21,21.5,,,,,,,,,,,,,,,,,
